id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,view,condition,grade,sqft_above,sqft_basement,yr_built,zipcode,lat,long,sqft_living15,sqft_lot15
7129300520,1413158400000000000,221900.0,3,1.0,1180,5650,1.0,0,3,7,1180,0,1955,98178,47.5112,-122.257,1340,5650
5631500400,1424822400000000000,180000.0,2,1.0,770,10000,1.0,0,3,6,770,0,1933,98028,47.7379,-122.23299999999999,2720,8062
1954400510,1424217600000000000,510000.0,3,2.0,1680,8080,1.0,0,3,8,1680,0,1987,98074,47.6168,-122.045,1800,7503
1321400060,1403827200000000000,257500.0,3,2.25,1715,6819,2.0,0,3,7,1715,0,1995,98003,47.3097,-122.32700000000001,2238,6819
2414600126,1429056000000000000,229500.0,3,1.0,1780,7470,1.0,0,3,7,1050,730,1960,98146,47.5123,-122.337,1780,8113
3793500160,1426118400000000000,323000.0,3,2.5,1890,6560,2.0,0,3,7,1890,0,2003,98038,47.3684,-122.031,2390,7570
9212900260,1401148800000000000,468000.0,2,1.0,1160,6000,1.0,0,4,7,860,300,1942,98115,47.69,-122.292,1330,6000
114101516,1401235200000000000,310000.0,3,1.0,1430,19901,1.5,0,4,7,1430,0,1927,98028,47.7558,-122.229,1780,12697
6054650070,1412640000000000000,400000.0,3,1.75,1370,9680,1.0,0,4,7,1370,0,1977,98074,47.6127,-122.045,1370,10208
1875500060,1406764800000000000,395000.0,3,2.0,1890,14040,2.0,0,3,7,1890,0,1994,98019,47.7277,-121.962,1890,14018
6865200140,1401321600000000000,485000.0,4,1.0,1600,4300,1.5,0,4,7,1600,0,1916,98103,47.6648,-122.34299999999999,1610,4300
16000397,1417737600000000000,189000.0,2,1.0,1200,9850,1.0,0,4,7,1200,0,1921,98002,47.3089,-122.21,1060,5095
7983200060,1429833600000000000,230000.0,3,1.0,1250,9774,1.0,0,4,7,1250,0,1969,98003,47.3343,-122.306,1280,8850
6300500875,1400025600000000000,385000.0,4,1.75,1620,4980,1.0,0,4,7,860,760,1947,98133,47.7025,-122.34100000000001,1400,4980
7137970340,1404345600000000000,285000.0,5,2.5,2270,6300,2.0,0,3,8,2270,0,1995,98092,47.3266,-122.169,2240,7005
8091400200,1400198400000000000,252700.0,2,1.5,1070,9643,1.0,0,3,7,1070,0,1985,98030,47.3533,-122.166,1220,8386
3814700200,1416441600000000000,329000.0,3,2.25,2450,6500,2.0,0,4,8,2450,0,1985,98030,47.3739,-122.17200000000001,2200,6865
1794500383,1403740800000000000,937000.0,3,1.75,2450,2691,2.0,0,3,8,1750,700,1915,98119,47.6386,-122.36,1760,3573
5101402488,1403568000000000000,438000.0,3,1.75,1520,6380,1.0,0,3,7,790,730,1948,98115,47.695,-122.304,1520,6235
1873100390,1425254400000000000,719000.0,4,2.5,2570,7173,2.0,0,3,8,2570,0,2005,98052,47.7073,-122.11,2630,6026
8562750320,1415577600000000000,580500.0,3,2.5,2320,3980,2.0,0,3,8,2320,0,2003,98027,47.5391,-122.07,2580,3980
461000390,1403568000000000000,687500.0,4,1.75,2330,5000,1.5,0,4,7,1510,820,1929,98117,47.6823,-122.368,1460,5000
7589200193,1415577600000000000,535000.0,3,1.0,1090,3000,1.5,0,4,8,1090,0,1929,98117,47.6889,-122.375,1570,5080
7955080270,1417564800000000000,322500.0,4,2.75,2060,6659,1.0,0,3,7,1280,780,1981,98058,47.4276,-122.15700000000001,2020,8720
2078500320,1403222400000000000,605000.0,4,2.5,2620,7553,2.0,0,3,8,2620,0,1996,98056,47.5301,-122.18,2620,11884
5547700270,1405382400000000000,625000.0,4,2.5,2570,5520,2.0,0,3,9,2570,0,2000,98074,47.6145,-122.027,2470,5669
9270200160,1414454400000000000,685000.0,3,1.0,1570,2280,2.0,0,3,7,1570,0,1922,98119,47.6413,-122.36399999999999,1580,2640
1432701230,1406592000000000000,309000.0,3,1.0,1280,9656,1.0,0,4,6,920,360,1959,98058,47.4485,-122.175,1340,8808
8035350320,1405641600000000000,488000.0,3,2.5,3160,13603,2.0,0,3,8,3160,0,2003,98019,47.7443,-121.977,3050,9232
8945200830,1427241600000000000,210490.0,3,1.0,990,8528,1.0,0,3,6,990,0,1966,98023,47.3066,-122.37100000000001,1228,8840
4178300310,1405468800000000000,785000.0,4,2.5,2290,13416,2.0,0,4,9,2290,0,1981,98007,47.6194,-122.15100000000001,2680,13685
9215400105,1430179200000000000,450000.0,3,1.75,1250,5963,1.0,0,4,7,1250,0,1953,98115,47.6796,-122.301,970,5100
5245600105,1410825600000000000,228000.0,3,1.0,1190,9199,1.0,0,3,7,1190,0,1955,98148,47.4258,-122.322,1190,9364
7518505990,1419984000000000000,600000.0,3,1.75,1410,4080,1.0,0,4,7,1000,410,1950,98117,47.6808,-122.384,1410,4080
3626039271,1423094400000000000,585000.0,2,1.75,1980,8550,1.0,0,3,7,990,990,1981,98117,47.6989,-122.369,1480,6738
4217401195,1425340800000000000,920000.0,5,2.25,2730,6000,1.5,0,3,8,2130,600,1927,98105,47.6571,-122.281,2730,6000
9822700295,1399852800000000000,885000.0,4,2.5,2830,5000,2.0,0,3,9,2830,0,1995,98105,47.6597,-122.29,1950,5000
9478500640,1408406400000000000,292500.0,4,2.5,2250,4495,2.0,0,3,7,2250,0,2008,98042,47.3663,-122.11399999999999,2250,4500
2799800710,1428364800000000000,301000.0,3,2.5,2420,4750,2.0,0,3,8,2420,0,2003,98042,47.3663,-122.12200000000001,2690,4750
8079040320,1424649600000000000,430000.0,4,3.0,1850,9976,2.0,0,3,8,1850,0,1991,98059,47.5059,-122.149,2270,8542
9558200045,1409184000000000000,289000.0,3,1.75,1260,8400,1.0,0,3,7,1260,0,1954,98148,47.4366,-122.335,1290,8750
1189001180,1401753600000000000,425000.0,3,2.25,1660,6000,1.0,0,3,7,1110,550,1979,98122,47.6113,-122.29700000000001,1440,4080
3394100030,1410220800000000000,975000.0,4,2.5,2720,11049,2.0,0,3,10,2720,0,1989,98004,47.5815,-122.19200000000001,2750,11049
3717000160,1412812800000000000,287000.0,4,2.5,2240,4648,2.0,0,3,7,2240,0,2005,98001,47.3378,-122.257,2221,4557
1274500060,1408924800000000000,204000.0,3,1.0,1000,12070,1.0,0,4,7,1000,0,1968,98042,47.3621,-122.11,1010,12635
1049000060,1420416000000000000,325000.0,3,2.0,1260,5612,1.0,0,4,7,1260,0,1972,98034,47.7362,-122.179,1640,4745
5416510140,1404950400000000000,360000.0,4,2.5,2380,5000,2.0,0,3,8,2380,0,2005,98038,47.3608,-122.036,2420,5000
4036801170,1413158400000000000,380000.0,4,1.75,1760,7300,1.0,0,3,7,880,880,1956,98008,47.6034,-122.125,1680,7500
2391600320,1429488000000000000,480000.0,3,1.0,1040,5060,1.0,0,3,7,1040,0,1941,98116,47.5636,-122.39399999999999,890,5060
6300000287,1402272000000000000,410000.0,3,1.0,1410,5060,1.0,0,4,7,910,500,1956,98133,47.7073,-122.34,1130,5693
5104520400,1417478400000000000,390000.0,3,2.5,2350,5100,2.0,0,3,8,2350,0,2003,98038,47.3512,-122.008,2350,5363
7437100340,1419206400000000000,360000.0,4,2.5,1900,5889,2.0,0,3,7,1900,0,1992,98038,47.349,-122.031,1870,6405
9418400240,1414454400000000000,355000.0,2,1.0,2020,6720,1.0,0,3,7,1010,1010,1948,98118,47.5474,-122.291,1720,6720
1523059105,1422403200000000000,356000.0,3,1.5,1680,8712,1.0,0,3,8,1680,0,1964,98059,47.4811,-122.149,1850,8797
1133000671,1401667200000000000,315000.0,3,1.0,960,6634,1.0,0,3,6,960,0,1952,98125,47.7264,-122.31,1570,7203
4232902595,1415923200000000000,940000.0,3,1.5,2140,3600,2.0,0,3,9,1900,240,1925,98119,47.6337,-122.365,2020,4800
3342103156,1403049600000000000,461000.0,3,3.25,2770,6278,2.0,0,3,9,1980,790,2006,98056,47.5228,-122.199,1900,7349
1332700270,1400457600000000000,215000.0,2,2.25,1610,2040,2.0,0,4,7,1610,0,1979,98056,47.518,-122.194,1950,2025
3869900162,1409788800000000000,335000.0,2,1.75,1030,1066,2.0,0,3,7,765,265,2006,98136,47.5394,-122.387,1030,1106
2791500270,1400716800000000000,243500.0,4,2.5,1980,7403,2.0,0,3,7,1980,0,1988,98023,47.2897,-122.37200000000001,1980,7510
4168000060,1424908800000000000,153000.0,3,1.0,1200,10500,1.0,0,3,7,1200,0,1962,98023,47.321999999999996,-122.351,1350,10500
6021501535,1406246400000000000,430000.0,3,1.5,1580,5000,1.0,0,3,8,1290,290,1939,98117,47.687,-122.38600000000001,1570,4500
6021501535,1419292800000000000,700000.0,3,1.5,1580,5000,1.0,0,3,8,1290,290,1939,98117,47.687,-122.38600000000001,1570,4500
3422049190,1427673600000000000,247500.0,3,1.75,1960,15681,1.0,0,3,7,1960,0,1967,98032,47.3576,-122.277,1750,15616
1099611230,1410480000000000000,199000.0,4,1.5,1160,6400,1.0,0,4,7,1160,0,1975,98023,47.3036,-122.37799999999999,1160,6400
5200100125,1414368000000000000,555000.0,3,2.0,1980,3478,1.5,0,4,7,1440,540,1929,98117,47.6775,-122.37200000000001,1610,3478
6197800045,1411516800000000000,290000.0,3,1.0,1210,33919,1.0,0,3,7,1210,0,1954,98058,47.4375,-122.184,1640,14910
1328310370,1427932800000000000,375000.0,3,2.5,2340,10005,1.0,0,4,8,1460,880,1978,98058,47.4431,-122.133,2250,8162
546000875,1400803200000000000,460000.0,3,1.0,1670,4005,1.5,0,4,7,1170,500,1939,98117,47.6878,-122.38,1240,4005
1853000400,1425513600000000000,680000.0,4,2.5,3140,28037,2.0,0,4,10,3140,0,1991,98077,47.7304,-122.08200000000001,2990,35001
3134100116,1409097600000000000,470000.0,5,1.75,2030,12342,2.0,0,4,7,2030,0,1942,98052,47.6417,-122.109,2500,9433
9545230140,1406246400000000000,597750.0,4,2.5,2310,9624,2.0,0,3,8,2310,0,1984,98027,47.5386,-122.053,1940,9636
2525310310,1410825600000000000,272500.0,3,1.75,1540,12600,1.0,0,4,7,1160,380,1980,98038,47.3624,-122.031,1540,11656
4060000240,1403481600000000000,205425.0,2,1.0,880,6780,1.0,0,4,6,880,0,1945,98178,47.5009,-122.24799999999999,1190,6780
3454800060,1420675200000000000,171800.0,4,2.0,1570,9600,1.0,0,3,6,1570,0,1950,98168,47.4965,-122.303,1880,9000
1695900060,1431302400000000000,535000.0,4,1.0,1610,2982,1.5,0,4,7,1610,0,1925,98144,47.586999999999996,-122.294,1610,4040
6675500070,1416355200000000000,391500.0,3,2.0,1450,9132,1.0,0,3,7,1450,0,1987,98034,47.7288,-122.226,1580,9104
3626039187,1428278400000000000,395000.0,2,1.0,770,6000,1.0,0,3,6,770,0,1953,98117,47.6999,-122.36399999999999,1710,6000
3275860240,1403049600000000000,770000.0,3,2.25,2910,10204,2.0,0,3,9,2910,0,1990,98052,47.6897,-122.098,2700,13992
8732020310,1405555200000000000,260000.0,4,2.25,2160,8811,1.0,0,3,8,1360,800,1978,98023,47.3129,-122.39,2090,8400
9545240070,1430179200000000000,660500.0,4,2.25,2010,9603,1.0,0,3,8,1440,570,1986,98027,47.5343,-122.054,2060,9793
8929000270,1399852800000000000,453246.0,3,2.5,2010,2287,2.0,0,3,8,1390,620,2014,98029,47.5517,-121.99799999999999,1690,1662
921049315,1407888000000000000,199000.0,3,1.75,1320,17390,1.0,0,4,7,1320,0,1956,98003,47.3257,-122.296,1550,19265
3655000070,1407196800000000000,220000.0,4,1.75,2020,7840,1.0,0,3,7,1010,1010,1968,98003,47.3309,-122.29899999999999,1750,8140
3992700335,1404691200000000000,382500.0,2,1.0,1190,4440,1.0,0,3,6,1190,0,1981,98125,47.7135,-122.287,1060,5715
4232901525,1403827200000000000,665000.0,2,1.0,1110,3200,1.0,0,3,7,1110,0,1925,98119,47.6338,-122.35799999999999,1170,3600
1432900240,1431043200000000000,205000.0,3,1.0,1610,8579,1.0,0,4,7,1010,600,1962,98058,47.4563,-122.171,1610,8579
6140100875,1429056000000000000,420000.0,3,1.0,1060,8097,1.0,0,4,7,940,120,1923,98133,47.7144,-122.351,1560,7940
6071600370,1424995200000000000,500000.0,4,2.25,2030,8517,1.0,0,4,8,1380,650,1961,98006,47.5495,-122.17399999999999,2230,8824
8075400570,1414627200000000000,258000.0,5,2.0,2260,12500,1.0,0,4,8,1130,1130,1960,98032,47.3887,-122.286,1360,18000
1994200024,1415059200000000000,511000.0,3,1.0,1430,3455,1.0,0,3,7,980,450,1947,98103,47.6873,-122.336,1450,4599
3362900810,1408492800000000000,532170.0,3,2.0,1360,3090,2.0,0,3,8,1360,0,1990,98103,47.6838,-122.353,1500,3090
1324300398,1428537600000000000,560000.0,3,1.0,1110,5000,1.5,0,3,7,1110,0,1947,98107,47.655,-122.359,1420,5000
537000445,1427760000000000000,282950.0,3,1.0,1250,8200,1.0,0,4,7,1250,0,1954,98003,47.3255,-122.304,1680,8633
8960000030,1406505600000000000,215000.0,3,1.0,1180,7669,1.0,0,4,7,1180,0,1967,98058,47.4479,-122.176,1190,7669
8731900200,1407369600000000000,320000.0,4,2.75,2640,7500,1.0,0,3,8,1620,1020,1967,98023,47.3135,-122.369,1980,7875
1081200350,1412294400000000000,320000.0,4,1.75,1760,11180,1.0,0,4,8,1760,0,1968,98059,47.4715,-122.118,1730,11180
84000105,1399420800000000000,255000.0,5,2.25,2060,8632,1.0,0,3,7,1030,1030,1962,98146,47.4877,-122.335,1010,11680
3756500060,1425859200000000000,438000.0,3,1.75,1780,9660,1.0,0,3,7,1780,0,1962,98034,47.7171,-122.193,1200,9660
3574800520,1403222400000000000,441000.0,3,2.75,1910,7280,1.0,0,3,7,1160,750,1979,98034,47.7319,-122.22399999999999,1710,8152
2617300160,1407801600000000000,420000.0,3,2.0,2020,38332,1.0,0,4,7,1010,1010,1975,98027,47.4582,-122.023,2110,36590
2558660270,1417996800000000000,370000.0,3,1.75,1580,7000,1.0,0,3,7,1180,400,1976,98034,47.7209,-122.16799999999999,1640,7500
1836980160,1427155200000000000,807100.0,4,2.5,2680,4499,2.0,0,3,9,2680,0,1999,98006,47.565,-122.125,2920,4500
