,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,zipcode,lat,long,sqft_living15,sqft_lot15,price_per_sqft
0,221900,3,1.0,1180,5650,1.0,0,0,3,7,1180,0,1955,98178,47.5112,-122.257,1340,5650,188.05084745762713
1,538000,3,2.25,2570,7242,2.0,0,0,3,7,2170,400,1951,98125,47.721000000000004,-122.319,1690,7639,209.3385214007782
2,180000,2,1.0,770,10000,1.0,0,0,3,6,770,0,1933,98028,47.7379,-122.23299999999999,2720,8062,233.76623376623377
3,604000,4,3.0,1960,5000,1.0,0,0,5,7,1050,910,1965,98136,47.5208,-122.39299999999999,1360,5000,308.16326530612247
4,510000,3,2.0,1680,8080,1.0,0,0,3,8,1680,0,1987,98074,47.6168,-122.045,1800,7503,303.57142857142856
6,257500,3,2.25,1715,6819,2.0,0,0,3,7,1715,0,1995,98003,47.3097,-122.32700000000001,2238,6819,150.14577259475217
7,291850,3,1.5,1060,9711,1.0,0,0,3,7,1060,0,1963,98198,47.4095,-122.315,1650,9711,275.3301886792453
8,229500,3,1.0,1780,7470,1.0,0,0,3,7,1050,730,1960,98146,47.5123,-122.337,1780,8113,128.93258426966293
9,323000,3,2.5,1890,6560,2.0,0,0,3,7,1890,0,2003,98038,47.3684,-122.031,2390,7570,170.8994708994709
10,662500,3,2.5,3560,9796,1.0,0,0,3,8,1860,1700,1965,98007,47.6007,-122.145,2210,8925,186.09550561797752
11,468000,2,1.0,1160,6000,1.0,0,0,4,7,860,300,1942,98115,47.69,-122.292,1330,6000,403.44827586206895
12,310000,3,1.0,1430,19901,1.5,0,0,4,7,1430,0,1927,98028,47.7558,-122.229,1780,12697,216.78321678321677
13,400000,3,1.75,1370,9680,1.0,0,0,4,7,1370,0,1977,98074,47.6127,-122.045,1370,10208,291.97080291970804
14,530000,5,2.0,1810,4850,1.5,0,0,3,7,1810,0,1900,98107,47.67,-122.39399999999999,1360,4850,292.81767955801104
15,650000,4,3.0,2950,5000,2.0,0,3,3,9,1980,970,1979,98126,47.5714,-122.375,2140,4000,220.33898305084745
16,395000,3,2.0,1890,14040,2.0,0,0,3,7,1890,0,1994,98019,47.7277,-121.962,1890,14018,208.994708994709
17,485000,4,1.0,1600,4300,1.5,0,0,4,7,1600,0,1916,98103,47.6648,-122.34299999999999,1610,4300,303.125
18,189000,2,1.0,1200,9850,1.0,0,0,4,7,1200,0,1921,98002,47.3089,-122.21,1060,5095,157.5
19,230000,3,1.0,1250,9774,1.0,0,0,4,7,1250,0,1969,98003,47.3343,-122.306,1280,8850,184.0
20,385000,4,1.75,1620,4980,1.0,0,0,4,7,860,760,1947,98133,47.7025,-122.34100000000001,1400,4980,237.65432098765433
22,285000,5,2.5,2270,6300,2.0,0,0,3,8,2270,0,1995,98092,47.3266,-122.169,2240,7005,125.55066079295155
23,252700,2,1.5,1070,9643,1.0,0,0,3,7,1070,0,1985,98030,47.3533,-122.166,1220,8386,236.16822429906543
